id,frequency,frequency_percent,characters
802,43751,85.3344869562,烈
803,43692,85.3570663323,洋
804,43620,85.3796084999,哥
805,43365,85.4020188873,索
806,43199,85.4243434883,胡
807,43087,85.4466102094,款
808,42988,85.4688257688,靠
809,42966,85.4910299589,评
810,42853,85.5131757522,版
811,42836,85.5353127603,宝
812,42814,85.557438399,座
813,42749,85.5795304468,释
814,42738,85.6016168098,景
815,42735,85.6237016226,顾
816,42706,85.6457714485,弟
817,42687,85.6678314556,登
818,42602,85.6898475359,货
819,42579,85.7118517301,互
820,42527,85.7338290515,付
821,42513,85.755799138,伯
822,42506,85.7777656069,慢
823,42504,85.7997310423,欧
824,42292,85.8215869192,换
825,42253,85.8434226415,闻
826,42080,85.86516896,危
827,42026,85.886887372,忙
828,41944,85.9085634077,核
829,41881,85.9302068859,暗
830,41762,85.9517888667,姐
831,41749,85.9733641293,介
832,41723,85.9949259555,坏
833,41717,86.016484681,讨
834,41363,86.0378604645,丽
835,41167,86.0591349581,良
836,41129,86.0803898139,序
837,41105,86.1016322669,升
838,41082,86.1228628338,监
839,41068,86.1440861657,临
840,41016,86.1652826248,亮
841,40954,86.1864470432,露
842,40936,86.2076021595,永
843,40709,86.2286399655,呼
844,40704,86.2496751876,味
845,40681,86.2706985237,野
846,40619,86.2916898191,架
847,40597,86.3126697452,域
848,40573,86.3336372685,沙
849,40541,86.3545882546,掉
850,40519,86.3755278715,括
851,40500,86.3964576694,舰
852,40452,86.4173626617,鱼
853,40265,86.4381710151,杂
854,40196,86.4589437104,误
855,40101,86.4796673111,湾
856,40081,86.5003805761,吉
857,40011,86.5210576661,减
858,39879,86.5416665405,编
859,39846,86.562258361,楚
860,39813,86.5828331275,肯
861,39752,86.6033763702,测
862,39627,86.6238550147,败
863,39588,86.6443135046,屋
864,39497,86.6647249671,跑
865,39486,86.6851307449,梦
866,39336,86.705459005,散
867,39312,86.7257748622,温
868,39172,86.7460183695,困
869,39020,86.7661833255,剑
870,39010,86.7863431136,渐
871,38954,86.8064739617,封
872,38824,86.8265376278,救
873,38668,86.8465206753,贵
874,38569,86.8664525612,枪
875,38506,86.8863518896,缺
876,38463,86.9062289962,楼
877,38407,86.9260771629,县
878,38376,86.9459093092,尚
879,38374,86.965740422,毫
880,38349,86.9855586151,移
881,38274,87.0053380494,娘
882,38271,87.0251159333,朋
883,38263,87.0448896829,画
884,38130,87.0645947,班
885,38064,87.0842656094,智
886,37960,87.1038827731,亦
887,37939,87.1234890843,耳
888,37898,87.1430742074,恩
889,37834,87.1626262562,短
890,37729,87.1821240425,掌
891,37676,87.2015944392,恐
892,37619,87.2210353792,遗
893,37582,87.2404571982,固
894,37579,87.2598774667,席
895,37563,87.2792894667,松
896,37560,87.2986999164,秘
897,37550,87.3181051982,谢
898,37474,87.3374712043,鲁
899,37343,87.3567695116,遇
900,37302,87.3760466307,康
901,37208,87.395275172,虑
902,37198,87.4144985455,幸
903,36842,87.4335379434,均
904,36821,87.4525664888,销
905,36770,87.4715686782,钟
906,36762,87.4905667333,诗
907,36704,87.5095348149,藏
908,36599,87.5284486341,赶
909,36585,87.5473552182,剧
910,36459,87.5661966875,票
911,36444,87.5850304049,损
912,36378,87.6038300145,忽
913,36351,87.622615671,巨
914,36315,87.6413827231,炮
915,36291,87.6601373724,旧
916,36233,87.6788620482,端
917,36230,87.6975851737,探
918,36112,87.7162473184,湖
919,36080,87.7348929261,录
920,36032,87.7535137281,叶
921,36027,87.7721319461,春
922,36025,87.7907491306,乡
923,35955,87.8093301401,附
924,35891,87.8278780754,吸
925,35757,87.8463567614,予
926,35612,87.8647605137,礼
927,35577,87.8831461784,港
928,35370,87.9014248686,雨
929,35343,87.9196896056,呀
930,35332,87.937948658,板
931,35205,87.9561420787,庭
932,35188,87.974326714,妇
933,35153,87.9924932618,归
934,35082,88.0106231179,睛
935,35076,88.0287498733,饭
936,34823,88.046745882,额
937,34759,88.0647088165,含
938,34708,88.082645395,顺
939,34688,88.1005716377,输
940,34635,88.1184704909,摇
941,34625,88.1363641762,招
942,34610,88.1542501097,婚
943,34548,88.1721040025,脱
944,34542,88.1899547946,补
945,34527,88.207797835,谓
946,34523,88.2256388082,督
947,34517,88.2434766807,毒
948,34469,88.2612897475,油
949,34467,88.2791017807,疗
950,34384,88.2968709208,旅
951,34311,88.3146023355,泽
952,34237,88.3322955082,材
953,34135,88.3499359688,灭
954,34128,88.3675728118,逐
955,34097,88.3851936346,莫
956,34057,88.4027937859,笔
957,33917,88.4203215873,亡
958,33720,88.4377475821,鲜
959,33669,88.4551472208,词
960,33620,88.472521537,圣
961,33615,88.4898932693,择
962,33469,88.507189551,寻
963,33468,88.5244853159,厂
964,33420,88.5417562751,睡
965,33366,88.5589993279,博
966,33228,88.5761710643,勒
967,33137,88.5932957733,烟
968,33017,88.6103584681,授
969,32991,88.6274077265,诺
970,32822,88.6443696482,伦
971,32807,88.6613238181,岸
972,32761,88.6782542159,奥
973,32757,88.6951825465,唐
974,32694,88.7120783197,卖
975,32638,88.728945153,俄
